feature,n_brain_met,n_no_brain_met,mut_brain_met,mut_no_brain_met,prev_brain_met,prev_no_brain_met,prev_ratio,pr_lo,pr_hi,odds_ratio,fisher_p,p_holm,q_bh
TP53,393,841,206,364,0.5241730279898219,0.4328180737217598,1.2110701003830775,1.0720847142481178,1.3680735939514888,1.443585825938767,0.003240852502277002,0.032408525022770016,0.032408525022770016
PIK3CA,393,841,112,241,0.28498727735368956,0.28656361474435194,0.9944991711803026,0.822849620847504,1.201955468436197,0.9923066700137328,1.0,1.0,1.0
GATA3,393,841,46,128,0.11704834605597965,0.15219976218787157,0.7690442111959288,0.5612777006059831,1.0537190380722992,0.7384275936599424,0.11383673196743627,1.0,0.5691836598371813
CDH1,393,841,35,87,0.089058524173028,0.10344827586206896,0.8608990670059373,0.5925184928639481,1.250842315468241,0.8472998137802608,0.4743355033845129,1.0,0.682468764004408
PTEN,393,841,26,47,0.06615776081424936,0.0558858501783591,1.1838016349953981,0.7444508181249794,1.8824431069165823,1.1968230042321295,0.5174857189594455,1.0,0.682468764004408
NF1,393,841,25,38,0.06361323155216285,0.04518430439952437,1.4078612561939199,0.8622151864750557,2.2988151308203206,1.4355692219679634,0.21088217667424636,1.0,0.682468764004408
ARID1A,393,841,24,60,0.061068702290076333,0.0713436385255648,0.8559796437659033,0.5414558176594507,1.3532057956433963,0.8466124661246612,0.5459750112035264,1.0,0.682468764004408
KMT2D,393,841,24,54,0.061068702290076333,0.06420927467300833,0.9510884930732258,0.5970017468945598,1.5151870599401467,0.9479072568503463,0.9004458498130898,1.0,1.0
BRCA2,393,841,24,42,0.061068702290076333,0.04994054696789536,1.222828062522719,0.7513710427887805,1.99010659892228,1.2373209446380178,0.41772348537367043,1.0,0.682468764004408
KMT2C,393,841,23,38,0.058524173027989825,0.04518430439952437,1.2952323556984064,0.7826469371558709,2.1435295733022586,1.3135846372688478,0.32538034922373105,1.0,0.682468764004408
